UsuarioID,TIPO_CLIENTE_BEME,SEGMENTO_BEME,NANO_SEGMENTO,MICRO_SEGMENTO,MODULO,ZONA,CTA_CTA_BIPERSONAL,CTA_CTA_UNIPERSONAL,CUENTA_PROVEEDOR,CUENTA_RUT,CUENTA_EMPRENDEDOR,CAJA_VECINA,CHEQ_MICROEMPRESA,CHEQ_OTRA,CTA_CTE_OTRA,LINEA_DE_CREDITO,TARJETA,EDAD,COMPORTAMIENTO_SBIF,COMPORTAMIENTO_BEME,SEXO,TIPO_PERSONA,TIPO_SOCIEDAD_CRITERIO_BEME,TRX_APP,TRX_BATCH,TRX_BECO,TRX_Buzonera,TRX_Caja,TRX_Caja_Vecina,TRX_Cajero_Automatico,TRX_Dispensadores,TRX_FALABELLA,TRX_Internet,TRX_Meson,TRX_MYPE,TRX_RedBanc,TRX_RedCompra,TRX_ServiEstado,Uso_Digital_3M,Uso_Web_3M,Uso_App_3M,Uso_Digital_Anual,Uso_Web_Anual,Uso_App_Anual,Con_Clave_Atm,Con_Clave_INET,Hab_BIPass,PERFIL_RIESGO,INF_COMERCIAL,GRP_PROPENSION,TIPO_CLIENTE,TIENE_PREAP,CANAL
1,deudor comercial,Turismo,Segmento A,Segmento A,Region 3,Zona 2,1,1,1,1,1,0,0,1,1,1,1,58,Malo,Regular,F,1,SPA,82,38,34,29,24,7,74,89,51,34,26,9,39,66,34,0,1,1,1,0,1,0,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
2,deudor no comercial,Comercial,Segmento B,Segmento A,Region 2,Zona 1,0,1,0,1,1,0,1,1,0,1,1,54,Malo,Bueno,F,2,Sociedad,8,29,67,52,63,75,5,11,54,74,51,64,29,2,31,0,0,1,0,1,0,0,0,1,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Castigado o Sin Producto,SI,SALESFORCE -WEB
3,deudor comercial,Turismo,Segmento C,Segmento A,Region 1,Zona 2,1,1,0,1,1,0,1,1,1,1,0,18,Regular,Bueno,F,1,Cooperativas,7,7,3,50,96,23,32,19,43,45,79,43,71,33,42,0,1,0,1,1,1,1,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
4,Microempresas,Turismo,Segmento A,Segmento C,Region 2,Zona 3,0,0,1,0,1,0,1,1,0,0,0,74,Malo,Bueno,F,1,Cooperativas,77,77,36,22,67,44,84,56,3,56,54,13,96,99,48,1,1,1,0,1,0,1,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,SI,
5,Microempresas,Turismo,Segmento A,Segmento B,Region 3,Zona 1,0,1,1,0,1,1,1,0,0,1,0,38,Malo,Malo,M,2,Cooperativas,0,0,60,1,74,18,73,36,8,75,68,93,95,88,28,1,1,1,1,0,1,1,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
6,deudor no comercial,Comercial,Segmento C,Segmento C,Region 3,Zona 2,1,0,0,1,0,1,1,0,1,1,0,30,Bueno,Regular,F,1,SPA,33,7,43,35,44,93,37,92,75,79,64,60,14,72,49,1,0,1,0,0,0,1,1,0,Excelente,NO SUJETO DE CREDITO,[3]Baja_Propension,Castigado o Sin Producto,SI,SALESFORCE -WEB
7,Microempresas,Comercial,Segmento A,Segmento B,Region 1,Zona 2,1,0,1,1,1,1,1,1,0,1,1,36,Bueno,Malo,M,2,Sociedad,55,51,92,37,39,21,33,93,1,35,96,31,69,65,76,1,1,1,0,0,1,1,1,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
8,deudor no comercial,Comercial,Segmento A,Segmento C,Region 1,Zona 2,0,1,1,0,0,1,1,0,0,1,0,53,Bueno,Malo,M,2,Sociedad,74,10,18,47,89,84,54,60,60,75,4,60,40,43,88,0,0,0,0,1,0,1,0,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
9,deudor no comercial,Comercial,Segmento A,Segmento B,Region 2,Zona 2,1,0,1,0,1,1,0,0,0,1,0,70,Bueno,Malo,M,1,Federacion,50,39,10,26,43,35,8,16,14,4,27,30,63,90,73,0,0,0,0,0,0,0,0,0,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
10,deudor no comercial,Turismo,Segmento B,Segmento C,Region 2,Zona 2,1,1,0,1,0,0,1,1,0,1,1,29,Regular,Regular,M,2,Sindicatos,58,87,99,45,7,82,75,40,43,69,47,9,31,3,92,1,1,0,0,1,0,1,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,SI,
